task_name,best_train_reward,best_train_nmse,best_train_expr,best_beam_reward,best_beam_nmse,best_beam_expr
feynman_I_10_7,-0.04486605361104012,0.034866053611040115,x0,,,
feynman_I_11_19,-1.0,1.0,cos((x2 / cos(cos(cos(cos((cos(cos(const)) / cos(cos((cos(x2) / cos(cos(cos(cos(x0)))))))))))))),,,
feynman_I_12_1,-0.030000000000011087,1.1088563369647617e-14,(x0 * x1),,,
feynman_I_12_11,-0.7992808079719543,0.6892808079719543,((x2 - ((x4 - x0) * (x3 + x0))) - x0),,,
feynman_I_12_2,-0.7217758083343506,0.6817758083343506,(sin(3.0) / x3),,,
feynman_I_12_4,-1.0,1.0,const,,,
feynman_I_12_5,-0.03000000000001317,1.3171178523654816e-14,(x0 * x1),,,
feynman_I_13_12,-0.31734226942062377,0.2673422694206238,((x2 - x3) * x0),,,
feynman_I_13_4,-0.6522602319717408,0.6022602319717407,((x3 * x0) * x0),,,
feynman_I_14_3,-0.05000000000001598,1.598311869140112e-14,((x1 * x0) * x2),,,
feynman_I_14_4,-0.19176110923290252,0.14176110923290253,((2.0 * x1) * x0),,,
feynman_I_15_10,-0.06383613005280495,0.03383613005280495,(x0 * x1),,,
feynman_I_15_3t,-0.019496970102190973,0.009496970102190971,x3,,,
feynman_I_15_3x,-0.15645646810531616,0.09645646810531616,((x0 - x1) - log(2.0)),,,
feynman_I_16_6,-0.19061625957489015,0.18061625957489014,x0,,,
feynman_I_18_12,-0.060000000000005785,5.790108433808899e-15,((x1 * x0) * sin(x2)),,,
feynman_I_18_14,-0.40682438731193543,0.3368243873119354,((sin(x3) * exp(3.0)) - 1.0),,,
feynman_I_18_4,-0.8069115066528321,0.766911506652832,(x2 / log(3.0)),,,
feynman_I_24_6,-0.22591636300086976,0.15591636300086975,((x3 * (x0 * x1)) * x3),,,
feynman_I_25_13,-0.030000000001192777,1.1927800327299343e-12,(x0 / x1),,,
feynman_I_26_2,-0.054324397780001164,0.014324397780001163,(sin(x1) * x0),,,
feynman_I_27_6,-0.45350669622421264,0.40350669622421265,(x1 / (x2 / 0.5)),,,
feynman_I_29_16,-0.86110417842865,0.8111041784286499,(x0 + (1.0 / x0)),,,
feynman_I_29_4,-0.05000000000085479,8.547860227796356e-13,((1.0 * x0) / x1),,,
